,AIRCRAFT,ORIGIN,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
151,E145,BLR,27668350,27668415,27668771,463.8928171,0.0,1.0,1.0,0.0
152,E145,BLR,27666910,27666975,27666974,463.8928171,0.0,1.0,1.0,0.0
153,E145,BLR,27665470,27665535,27665478,463.8928171,0.0,1.0,1.0,0.0
154,E145,BLR,27664030,27664095,27664139,463.8928171,0.0,1.0,1.0,0.0
155,E145,BLR,27662590,27662655,27662603,463.8928171,0.0,1.0,1.0,0.0
156,E145,BLR,27659800,27659865,27659817,463.8928171,0.0,1.0,1.0,0.0
157,E145,BLR,27658270,27658335,27658273,463.8928171,0.0,1.0,1.0,0.0
158,E145,BLR,27656830,27656895,27656846,463.8928171,0.0,1.0,1.0,0.0
159,E145,BLR,27655390,27655455,27655391,463.8928171,0.0,1.0,1.0,0.0
160,E145,BLR,27653950,27654015,27654043,463.8928171,0.0,1.0,1.0,0.0
161,E145,BLR,27652510,27652575,27652524,463.8928171,0.0,1.0,1.0,0.0
162,E145,BLR,27651160,27651225,27651178,463.8928171,0.0,1.0,1.0,0.0
163,E145,BLR,27649720,27649785,27649728,463.8928171,0.0,1.0,1.0,0.0
164,E145,BLR,27648190,27648255,27648202,463.8928171,0.0,1.0,1.0,0.0
165,E145,BLR,27646750,27646815,27646757,463.8928171,0.0,1.0,1.0,0.0
166,E145,BLR,27645310,27645375,27645335,463.8928171,0.0,1.0,1.0,0.0
167,E145,BLR,27643870,27643935,27643960,463.8928171,0.0,1.0,1.0,0.0
168,E145,BLR,27642430,27642495,27642432,463.8928171,0.0,1.0,1.0,0.0
169,E145,BLR,27640990,27641055,27641078,463.8928171,0.0,1.0,1.0,0.0
170,E145,BLR,27639550,27639615,27639641,463.8928171,0.0,1.0,1.0,0.0
171,E145,BLR,27638110,27638175,27638119,463.8928171,0.0,1.0,1.0,0.0
172,E145,BLR,27636670,27636735,27636718,463.8928171,0.0,1.0,1.0,0.0
173,E145,BLR,27635230,27635295,27635251,463.8928171,0.0,1.0,1.0,0.0
174,E145,BLR,27633790,27633855,27633895,463.8928171,0.0,1.0,1.0,0.0
175,E145,BLR,27632350,27632415,27632415,463.8928171,0.0,1.0,1.0,0.0
176,E145,BLR,27630910,27630975,27631004,463.8928171,0.0,1.0,1.0,0.0
177,E145,BLR,27629470,27629535,27629560,463.8928171,0.0,1.0,1.0,0.0
178,E145,BLR,27628030,27628095,27628034,463.8928171,0.0,1.0,1.0,0.0
179,E145,BLR,27626590,27626655,27626587,463.8928171,0.0,1.0,1.0,0.0
180,E145,BLR,27625150,27625215,27625213,463.8928171,0.0,1.0,1.0,0.0
181,E145,BLR,27623710,27623775,27623800,463.8928171,0.0,1.0,1.0,0.0
182,E145,BLR,27622270,27622335,27622403,463.8928171,0.0,1.0,1.0,0.0
183,E145,BLR,27620830,27620895,27620970,463.8928171,0.0,1.0,1.0,0.0
184,E145,BLR,27619390,27619455,27619490,463.8928171,0.0,1.0,1.0,0.0
185,E145,BLR,27617950,27618015,27617954,463.8928171,0.0,1.0,1.0,0.0
186,E145,BLR,27616510,27616575,27616515,463.8928171,0.0,1.0,1.0,0.0
187,E145,BLR,27615070,27615135,27615091,463.8928171,0.0,1.0,1.0,0.0
188,E145,BLR,27613630,27613695,27613725,463.8928171,0.0,1.0,1.0,0.0
189,E145,BLR,27612190,27612255,27612264,463.8928171,0.0,1.0,1.0,0.0
190,E145,BLR,27610750,27610815,27610857,463.8928171,0.0,1.0,1.0,0.0
191,E145,BLR,27609310,27609375,27609410,463.8928171,0.0,1.0,1.0,0.0
192,E145,BLR,27607870,27607935,27607874,463.8928171,0.0,1.0,1.0,0.0
193,E145,BLR,27606430,27606495,27606435,463.8928171,0.0,1.0,1.0,0.0
194,E145,BLR,27604990,27605055,27605067,463.8928171,0.0,1.0,1.0,0.0
195,E145,BLR,27603550,27603615,27603655,463.8928171,0.0,1.0,1.0,0.0
196,E145,BLR,27602110,27602175,27602118,463.8928171,0.0,1.0,1.0,0.0
197,E145,BLR,27600670,27600735,27600768,463.8928171,0.0,1.0,1.0,0.0
198,E145,BLR,27599230,27599295,27599346,463.8928171,0.0,1.0,1.0,0.0
199,E145,BLR,27597790,27597855,27597913,463.8928171,0.0,1.0,1.0,0.0
200,E145,BLR,27596350,27596415,27596399,463.8928171,0.0,1.0,1.0,0.0
201,E145,BLR,27594910,27594975,27594919,463.8928171,0.0,1.0,1.0,0.0
202,E145,BLR,27593470,27593535,27593573,463.8928171,0.0,1.0,1.0,0.0
