,AIRCRAFT,DESTINATION,STD_MIN,STA_MIN,ATD_MIN,Distance_km,0,1,2,3
226,E145,BLR,27746400.0,27746460.0,27746311.0,463.8928171403542,0.0,1.0,1.0,0.0
227,E145,BLR,27744855.0,27744920.0,27744865.0,463.8928171403542,0.0,1.0,1.0,0.0
228,E145,BLR,27743680.0,27743745.0,27743685.0,463.8928171403542,0.0,1.0,1.0,0.0
229,E145,BLR,27741975.0,27742040.0,27741980.0,463.8928171403542,0.0,1.0,1.0,0.0
230,E145,BLR,27740535.0,27740600.0,27740534.0,463.8928171403542,0.0,1.0,1.0,0.0
231,E145,BLR,27739200.0,27739260.0,27739199.0,463.8928171403542,0.0,1.0,1.0,0.0
232,E145,BLR,27737920.0,27737985.0,27737918.0,463.8928171403542,0.0,1.0,1.0,0.0
233,E145,BLR,27736178.0,27736178.0,27736127.0,463.8928171403542,0.0,1.0,1.0,0.0
234,E145,BLR,27734775.0,27734840.0,27734774.0,463.8928171403542,0.0,1.0,1.0,0.0
235,E145,BLR,27733600.0,27733665.0,27733608.0,463.8928171403542,0.0,1.0,1.0,0.0
236,E145,BLR,27731895.0,27731960.0,27731901.0,463.8928171403542,0.0,1.0,1.0,0.0
237,E145,BLR,27730455.0,27730520.0,27730545.0,463.8928171403542,0.0,1.0,1.0,0.0
238,E145,BLR,27729120.0,27729180.0,27729129.0,463.8928171403542,0.0,1.0,1.0,0.0
239,E145,BLR,27727840.0,27727905.0,27727837.0,463.8928171403542,0.0,1.0,1.0,0.0
240,E145,BLR,27726240.0,27726300.0,27726231.0,463.8928171403542,0.0,1.0,1.0,0.0
241,E145,BLR,27724695.0,27724760.0,27724701.0,463.8928171403542,0.0,1.0,1.0,0.0
242,E145,BLR,27723520.0,27723585.0,27723533.0,463.8928171403542,0.0,1.0,1.0,0.0
243,E145,BLR,27721815.0,27721880.0,27721985.0,463.8928171403542,0.0,1.0,1.0,0.0
244,E145,BLR,27720375.0,27720440.0,27720379.0,463.8928171403542,0.0,1.0,1.0,0.0
245,E145,BLR,27719040.0,27719100.0,27719056.0,463.8928171403542,0.0,1.0,1.0,0.0
246,E145,BLR,27717760.0,27717825.0,27717767.0,463.8928171403542,0.0,1.0,1.0,0.0
247,E145,BLR,27716160.0,27716220.0,27716153.0,463.8928171403542,0.0,1.0,1.0,0.0
248,E145,BLR,27714615.0,27714680.0,27714622.0,463.8928171403542,0.0,1.0,1.0,0.0
249,E145,BLR,27713440.0,27713505.0,27713440.0,463.8928171403542,0.0,1.0,1.0,0.0
250,E145,BLR,27711735.0,27711800.0,27711733.0,463.8928171403542,0.0,1.0,1.0,0.0
251,E145,BLR,27710295.0,27710360.0,27710301.0,463.8928171403542,0.0,1.0,1.0,0.0
252,E145,BLR,27708960.0,27709020.0,27708958.0,463.8928171403542,0.0,1.0,1.0,0.0
253,E145,BLR,27707680.0,27707745.0,27707689.0,463.8928171403542,0.0,1.0,1.0,0.0
254,E145,BLR,27706080.0,27706140.0,27706073.0,463.8928171403542,0.0,1.0,1.0,0.0
255,E145,BLR,27704535.0,27704600.0,27704529.0,463.8928171403542,0.0,1.0,1.0,0.0
256,E145,BLR,27703360.0,27703425.0,27703353.0,463.8928171403542,0.0,1.0,1.0,0.0
257,E145,BLR,27701655.0,27701720.0,27701658.0,463.8928171403542,0.0,1.0,1.0,0.0
258,E145,BLR,27700215.0,27700280.0,27700218.0,463.8928171403542,0.0,1.0,1.0,0.0
259,E145,BLR,27698880.0,27698940.0,27698876.0,463.8928171403542,0.0,1.0,1.0,0.0
260,E145,BLR,27697600.0,27697665.0,27697601.0,463.8928171403542,0.0,1.0,1.0,0.0
261,E145,BLR,27696000.0,27696060.0,27696003.0,463.8928171403542,0.0,1.0,1.0,0.0
262,E145,BLR,27694455.0,27694520.0,27694486.0,463.8928171403542,0.0,1.0,1.0,0.0
263,E145,BLR,27693280.0,27693345.0,27693292.0,463.8928171403542,0.0,1.0,1.0,0.0
264,E145,BLR,27691575.0,27691640.0,27691594.0,463.8928171403542,0.0,1.0,1.0,0.0
265,E145,BLR,27690135.0,27690200.0,27690369.0,463.8928171403542,0.0,1.0,1.0,0.0
266,E145,BLR,27688800.0,27688860.0,27688794.0,463.8928171403542,0.0,1.0,1.0,0.0
267,E145,BLR,27687520.0,27687585.0,27687625.0,463.8928171403542,0.0,1.0,1.0,0.0
268,E145,BLR,27685920.0,27685980.0,27685921.0,463.8928171403542,0.0,1.0,1.0,0.0
